City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Wind Speed (mph),Cloudiness
Kailua,US,21.4,-157.74,81.0,83,4.7,40
Narsaq,GL,60.92,-46.05,35.6,80,3.69,41
Cabedelo,BR,-6.98,-34.83,73.4,88,5.82,20
Viedma,AR,-40.81,-63.0,73.29,51,10.92,0
Tutayev,RU,57.89,39.54,32.0,96,8.95,90
Kismayo,SO,-0.36,42.55,79.38,74,13.78,50
Moose Factory,CA,51.26,-80.61,33.8,80,5.82,75
Asău,RO,46.43,26.4,44.01,83,6.55,52
Gusau,NG,12.16,6.66,76.44,73,6.38,7
Turukhansk,RU,65.82,87.98,30.54,98,18.37,100
‘Āhuimanu,US,21.44,-157.84,82.4,83,4.7,40
Maraã,BR,-1.83,-65.37,75.51,88,0.92,92
Tiksi,RU,71.69,128.87,19.6,95,12.37,100
Ilo,PE,-17.64,-71.34,61.74,78,3.2,75
Sotnikovo,RU,51.88,107.48,39.2,60,6.71,96
Grand Gaube,MU,-20.01,57.66,77.0,64,5.01,22
Castro Alves,BR,-12.77,-39.43,69.82,94,5.1,43
Minot,US,48.23,-101.3,28.4,63,13.87,90
Lake Shasta,US,40.68,-122.37,87.8,22,9.17,1
Jiaojiang,CN,28.68,121.44,73.0,72,8.41,97
Brewster,US,41.4,-73.62,44.01,93,1.07,1
Penzance,GB,50.12,-5.54,52.0,93,8.05,63
Moranbah,AU,-22.0,148.05,87.33,18,3.85,0
Tabou,CI,4.42,-7.35,76.12,91,5.93,54
Key West,US,24.56,-81.78,80.6,78,14.99,75
Mga,RU,59.75,31.07,34.0,77,7.47,66
Tessalit,ML,20.2,1.01,78.84,20,9.48,0
Udachny,RU,66.42,112.4,12.2,92,2.24,0
Oneonta,US,42.45,-75.06,37.99,63,1.99,0
Cayenne,GF,4.93,-52.33,77.0,100,1.12,20
Karasjok,NO,69.47,25.51,32.0,94,12.75,0
Kirensk,RU,57.79,108.11,40.75,90,6.38,100
Saint-Paul,RE,-21.01,55.27,73.4,60,8.05,18
Fukuechō,JP,32.69,128.84,69.8,56,13.87,40
Chernushka,RU,56.51,56.08,31.98,95,5.12,0
Xingcheng,CN,40.62,120.72,61.54,31,10.45,0
Kupang,ID,-10.17,123.58,91.4,52,10.29,40
Urengoy,RU,65.97,78.37,24.06,97,17.34,99
Saint Paul,US,44.94,-93.09,41.0,64,14.99,75
Vila Franca do Campo,PT,37.72,-25.43,60.8,72,8.05,20
Florianópolis,BR,-27.61,-48.5,64.4,93,1.12,20
Grindavik,IS,63.84,-22.43,42.8,93,24.16,75
Honolulu,US,21.31,-157.86,82.4,69,6.93,90
Ancud,CL,-41.87,-73.82,48.99,93,9.17,75
Tete,MZ,-16.16,33.59,71.01,68,3.36,0
Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.72,85,9.53,78
Puerto Madryn,AR,-42.77,-65.04,69.51,28,29.46,60
Gravdal,NO,68.12,13.5,42.35,66,21.81,94
Dwārka,IN,22.24,68.97,85.86,71,12.75,68
Putina,PE,-15.47,-69.43,44.47,76,7.83,72
Salinópolis,BR,-0.61,-47.36,78.49,80,9.89,35
Mandalgovi,MN,45.76,106.27,45.77,46,11.54,0
Verkhoyansk,RU,67.54,133.38,20.44,95,5.64,100
Whitecourt,CA,54.15,-115.69,14.0,78,3.47,20
Dabola,GN,10.75,-11.12,71.24,83,2.91,3
Denpasar,ID,-8.65,115.22,87.8,74,12.75,40
Binga,ZW,-17.62,27.34,71.4,40,0.6,0
Muravlenko,RU,63.79,74.52,27.25,97,28.3,100
Kysyl-Syr,RU,63.9,122.76,16.34,90,6.08,41
Whitehorse,CA,60.72,-135.05,14.0,66,3.36,5
Ponta Delgada,PT,37.73,-25.67,60.8,72,8.05,20
Kushima,JP,31.46,131.23,69.8,60,13.87,75
Chicama,PE,-7.84,-79.15,63.48,81,4.27,13
Kerema,PG,-7.96,145.78,81.41,82,10.8,85
Bousso,TD,10.48,16.71,73.72,70,3.56,79
Cabo San Lucas,MX,22.89,-109.91,82.0,83,6.69,3
Pemangkat,ID,1.17,108.97,86.88,64,4.7,100
Victoria Point,AU,-27.58,153.3,82.0,54,5.99,74
Okakarara,NA,-20.58,17.43,57.87,34,2.35,0
Āreka,ET,7.07,37.7,61.75,87,2.08,98
Pitimbu,BR,-7.47,-34.81,73.4,88,5.82,20
La Rioja,ES,42.25,-2.5,44.01,93,4.7,35
Kununurra,AU,-15.77,128.73,96.8,34,6.93,8
Haines Junction,CA,60.75,-137.51,20.66,77,0.96,0
Jaciara,BR,-15.97,-54.97,75.51,62,0.96,36
Liwale,TZ,-9.77,37.93,73.02,76,3.76,55
Inuvik,CA,68.35,-133.72,14.0,72,5.82,20
Hope,US,33.67,-93.59,64.99,63,5.99,100
Quryq,KZ,43.2,51.65,59.58,34,14.27,0
Shimoda,JP,34.67,138.95,64.4,72,17.22,75
Palu,ID,-0.89,119.87,78.42,80,3.8,100
Carutapera,BR,-1.2,-46.02,76.73,85,4.97,5
Kuloy,RU,61.03,42.49,33.69,91,7.16,88
Lethem,GY,3.38,-59.8,81.57,54,6.73,78
Anadyr,RU,64.75,177.48,35.6,80,2.24,67
Mareeba,AU,-17.0,145.43,84.99,58,12.75,90
San Ignacio,BZ,17.16,-89.07,75.0,89,1.34,99
Puerto Suárez,BO,-18.95,-57.8,78.87,63,1.72,88
Sabzawār,IR,36.21,57.68,46.4,28,9.17,0
Kargat,RU,55.2,80.28,35.29,80,18.57,16
Usinsk,RU,65.99,57.53,27.52,98,12.41,44
Gorontalo,ID,0.54,123.06,80.01,80,1.21,99
Laas,IT,46.62,10.7,37.4,93,5.82,5
Māgadi,IN,12.97,77.23,79.0,88,5.82,40
The Valley,AI,18.22,-63.06,80.6,83,6.93,40
Kloulklubed,PW,7.04,134.26,78.8,88,3.36,90
Naze,JP,28.37,129.48,78.8,83,13.87,75
Murgab,TM,37.5,61.97,48.2,61,4.21,0
Sembakung,ID,3.82,117.25,84.49,71,1.99,100
Baffa,PK,34.44,73.22,75.24,24,1.16,0
Kalmunai,LK,7.42,81.82,86.32,56,5.06,90
Raudeberg,NO,61.99,5.14,43.0,73,23.89,41
Bumba,CD,2.18,22.47,70.7,96,1.14,98
Yerbogachën,RU,61.28,108.01,30.25,94,5.93,91
Beringovskiy,RU,63.05,179.32,36.41,79,5.86,100
Abu Dhabi,AE,24.47,54.37,77.0,44,1.12,0
Boa Vista,BR,2.82,-60.67,82.4,65,5.82,73
Belomorsk,RU,64.52,34.77,40.86,91,7.34,100
Yumen,CN,40.28,97.2,54.1,33,11.48,0
Faya,SA,18.39,42.45,51.8,34,4.99,0
Invermere,CA,50.52,-116.04,33.01,76,1.59,100
Alofi,NU,-19.06,-169.92,82.4,83,11.41,97
Sibut,CF,5.72,19.07,69.13,87,0.96,69
Ostrovnoy,RU,68.05,39.51,33.39,85,6.91,2
Shache,CN,38.42,77.24,63.1,25,2.21,0
Isangel,VU,-19.55,169.27,80.6,78,11.41,75
Vestmannaeyjar,IS,63.44,-20.27,47.7,82,23.55,100
Kinablangan,PH,7.69,126.55,86.22,65,4.09,100
Haldībāri,IN,26.33,88.77,86.25,65,1.03,0
Arlit,NE,18.74,7.39,85.42,14,4.83,0
Okhotsk,RU,59.38,143.3,29.23,77,12.15,51
Bāfq,IR,31.61,55.41,60.53,22,2.08,0
Araouane,ML,18.9,-3.53,86.36,18,11.56,0
Saquarema,BR,-22.92,-42.51,71.6,68,5.82,16
Dubrovytsya,UA,51.57,26.57,39.99,91,10.42,100
Umluj,SA,25.02,37.27,83.34,40,8.39,0
Krasnosel'kup,RU,65.7,82.47,23.16,98,11.95,50
